#Feni weather file
$city_name=Feni
$timezone=GMT
solar_diff,solar_dir,solar_global,temperature,wind_speed
04:20:12:14:00,532.769,287.361,843.61,41.1133,2.73164
04:20:12:15:00,548.911,362.339,927.632,41.1533,2.56561
04:20:12:16:00,542.459,243.959,801.75,41.2,1.74646
04:20:12:17:00,536.531,191.588,740.49,41.2,1.78503
04:20:12:18:00,538.525,192.731,754.053,41.2,1.63337
04:20:12:19:00,543.451,239.56,802.581,41.2,1.71018
04:20:12:20:00,536.949,243.816,797.053,41.2,1.70631
04:20:12:21:00,525.656,238.36,780.314,41.2283,1.95133
04:20:12:22:00,508.587,191.688,709.566,41.2967,2.77576
04:20:12:23:00,498.6,181.191,695.396,41.3,2.97985
04:20:12:24:00,497.042,168.88,688.251,41.3,1.37779
04:20:12:25:00,483.332,161.839,664.354,41.3117,1.35572
04:20:12:26:00,479.52,225.464,724.442,41.3083,1.85793
04:20:12:27:00,477.815,250.985,744.63,41.3667,1.64995
04:20:12:28:00,475.34,284.662,770.622,41.4,1.58495
04:20:12:29:00,478.708,368.152,870.945,41.4,1.9623
04:20:12:30:00,471.081,312.539,791.198,41.4,2.98416
04:20:12:31:00,471.621,299.529,786.445,41.4767,2.9453
04:20:12:32:00,473.664,294.859,779.69,41.4983,2.79842
04:20:12:33:00,471.967,267.352,749.029,41.5,2.16155
04:20:12:34:00,460.469,183.705,662.089,41.5,2.775
04:20:12:35:00,464.13,278.692,757.68,41.5,2.82725
04:20:12:36:00,467.844,404.727,898.979,41.5,1.78332
04:20:12:37:00,461.225,505.027,961.484,41.5217,1.68011
04:20:12:38:00,445.997,435.676,882.278,41.51,1.28124
04:20:12:39:00,432.015,378.135,820.049,41.5083,2.1784
04:20:12:40:00,427.962,403.999,831.954,41.5917,2.82849
04:20:12:41:00,425.772,485.975,925.119,41.5233,2.62797
04:20:12:42:00,422.229,530.706,957.503,41.5667,2.95269
04:20:12:43:00,420.57,545.444,964.001,41.6,2.43823
04:20:12:44:00,419.448,531.42,946.411,41.5717,2.28032
04:20:12:45:00,412.763,537.761,946.406,41.5933,1.41875
04:20:12:46:00,408.102,531.362,924.828,41.6,0.851401
04:20:12:47:00,409.5,430.677,837.256,41.6,0.618182
04:20:12:48:00,420.484,476.764,906.32,41.6,0.635823
04:20:12:49:00,428.61,413.49,826.364,41.6,0.632433
04:20:12:50:00,424.946,307.921,734.425,41.6,0.271478
04:20:12:51:00,434.132,433.333,882.396,41.6,0.450156
04:20:12:52:00,429.678,515.196,930.076,41.6633,1.23585
04:20:12:53:00,425.531,465.553,879.721,41.6967,0.941943
04:20:12:54:00,421.402,405.384,823.704,41.7,1.06953
04:20:12:55:00,421.723,407.212,802.52,41.7,2.09624
04:20:12:56:00,425.094,326.178,772.892,41.7033,2.0245
04:20:12:57:00,427.205,296.187,704.622,41.78,1.6676
04:20:12:58:00,415.069,257.541,675.989,41.8,1.81372
04:20:12:59:00,426.581,464.81,899.487,41.8,2.31642
04:20:13:00:00,420.809,534.005,944.203,41.8317,2.26199
04:20:13:01:00,408.348,580.049,973.703,41.9,2.01617
04:20:13:02:00,394.016,603.813,981.795,41.9,2.14729
04:20:13:03:00,387.629,613.368,981.942,41.98,1.78319
04:20:13:04:00,387.382,598.429,966.045,42,2.13529
04:20:13:05:00,395.039,593.859,969.143,42,3.00987
04:20:13:06:00,402.583,581.234,956.569,42,3.4324
04:20:13:07:00,404.661,542.388,932.101,42.0067,3.52418
04:20:13:08:00,403.275,535.904,917.102,42.0083,4.25687
04:20:13:09:00,391.268,479.434,846.044,42.0417,2.74934
04:20:13:10:00,372.598,478.635,838.748,42.1,2.15524
04:20:13:11:00,357.872,515.524,852.916,42.1,1.65148
04:20:13:12:00,350.565,538.418,865.281,42.1,1.69668
04:20:13:13:00,343.581,523.236,839.011,42.1,1.09879
04:20:13:14:00,333.986,487.961,797.595,42.1,1.14956
04:20:13:15:00,328.449,378.52,681.596,42.1,1.37058
